[XFC_DATALOGGER_HEADER];;;;;;;;;;
CULTURE;pt-BR;;;;;;;;;
SOFTWARE_VERSION;V2.1.1;;;;;;;;;
DATETIME;2024-12-25T15:12:28;;;;;;;;;
USERNAME;Novaes Engenharia;;;;;;;;;
CG_NUMBER;CG110C1R00;;;;;;;;;
CONVERTER_ELECTRONICS;IFC050;;;;;;;;;
ELECTRONIC_SERIAL_NUMBER;106479269;;;;;;;;;
LOG_START_TIME;2024-02-05T16:20:36;;;;;;;;;
[XFC_DATALOGGER_DATA];;;;;;;;;;
Time;Operating Time;Current Output A;Counter1 Display IO;Counter 2;Flow Speed;Volume Flow;Mass Flow;Coil Temperature;Conductivity;Diagnosis 1
Time;Operating Time;Current Output A;Counter1 Display IO;Counter 2;Flow Speed;Volume Flow;Mass Flow;Coil Temperature;Conductivity;Diagnosis 1
3,588535;;10,1352874;;;0,784100771;;49999,1089;;203,123;2,29400015
3,64502;;;;;;49,8823285;;;;
3,648625;147406,733;10,1354159;122799,793;-3,36264221;0,782494545;;49882,3277;1435,06667;;
3,70871;;;;;;49,7801464;;;;
3,71232;;;;;0,78348887;;49780,1479;;;
3,732025;;;;;;49,843403;;;;
3,73563;;10,1355854;;;0,785553992;;49843,4017;;203,269031;
3,785385;;;;;;49,9747809;;;;
3,78899;;10,1356674;;;0,782035589;;49974,781;1433,95632;;
3,838265;;;;;;49,7509472;;;;
3,84187;;10,1357698;122799,796;;0,774692833;;49750,9483;;202,765577;2,29400015
3,89427;;;;;;49,2838237;;;;
3,897875;147406,75;10,1358676;;-3,36264221;0,774845779;;49283,8234;;;
3,932005;;;;;;49,2935535;;;;
3,93561;;10,135957;;;0,780505836;;49293,5532;1434,10769;;
3,985125;;;;;;49,65363;;;;
3,98849;;10,136053;;;0,783947766;;49653,6301;;202,778932;
4,03848;;;;;;49,8725954;;;;
4,04209;;10,1361284;;;0,78578347;;49872,5945;1434,76394;;
4,081985;;;;;;49,9893788;;;;
4,08559;147406,75;10,1362178;122799,8;-3,36264221;0,784483194;;49989,3791;;;2,29400015
4,14568;;;;;;49,9066595;;;;
4,149285;;10,1362765;;;0,778976142;;49906,6589;;203,068908;
4,1851;;;;;;49,5563161;;;;
4,188705;;10,1363342;;;0,776299059;;49556,3152;1431,88699;;
4,23846;;;;;;49,3860058;;;;
4,241825;;10,1363882;;;0,780658841;;49386,0065;;203,575008;
4,27788;;;;;;49,663363;;;;
4,281485;;10,1364376;122799,802;;0,784865618;;49663,3633;;;
4,329315;;;;;;49,9309871;;;;
4,33292;147406,75;10,1365075;;-3,36264221;0,782876968;;49930,9868;1434,91531;;2,29400015
4,38556;;;;;;49,804474;;;;
4,389165;;10,1365652;;;0,780276418;;49804,4724;;203,355495;
